"GENE_ID"	"TISSUE_ID"	"REF_COUNT"	"ALT_COUNT"	"TOTAL_COUNT"	"NULL_RATIO"
"ENSG00000090621"	"MSCLSK"	10	10	20	0.51
"ENSG00000143537"	"MSCLSK"	17	10	27	0.51
"ENSG00000113742"	"MSCLSK"	12	11	23	0.51
"ENSG00000165609"	"MSCLSK"	491	497	988	0.51
"ENSG00000107882"	"MSCLSK"	4	10	14	0.51
"ENSG00000182134"	"MSCLSK"	11	0	11	0.51
"ENSG00000138119"	"MSCLSK"	28	28	56	0.51
"ENSG00000119280"	"MSCLSK"	22	19	41	0.51
"ENSG00000108344"	"MSCLSK"	49	48	97	0.51
"ENSG00000232043"	"MSCLSK"	12	11	23	0.51
"ENSG00000198843"	"MSCLSK"	13	7	20	0.51
"ENSG00000182013"	"MSCLSK"	84	70	154	0.51
"ENSG00000120093"	"MSCLSK"	7	4	11	0.51
"ENSG00000106605"	"MSCLSK"	6	7	13	0.51
"ENSG00000165507"	"MSCLSK"	14	11	25	0.51
"ENSG00000081277"	"MSCLSK"	9	7	16	0.51
"ENSG00000165434"	"MSCLSK"	107	125	232	0.51
"ENSG00000120616"	"MSCLSK"	16	18	34	0.51
"ENSG00000126214"	"MSCLSK"	61	43	104	0.51
"ENSG00000257923"	"MSCLSK"	12	9	21	0.51
"ENSG00000075785"	"MSCLSK"	13	6	19	0.51
"ENSG00000090924"	"MSCLSK"	19	15	34	0.51
"ENSG00000143162"	"MSCLSK"	33	30	63	0.51
"ENSG00000215271"	"MSCLSK"	55	56	111	0.51
"ENSG00000135966"	"MSCLSK"	10	9	19	0.51
"ENSG00000115183"	"MSCLSK"	13	8	21	0.51
"ENSG00000186318"	"MSCLSK"	36	26	62	0.51
"ENSG00000123908"	"MSCLSK"	110	104	214	0.51
"ENSG00000003402"	"MSCLSK"	13	5	18	0.51
"ENSG00000175445"	"MSCLSK"	6	4	10	0.51
"ENSG00000240038"	"MSCLSK"	223	189	412	0.51
"ENSG00000133858"	"MSCLSK"	28	31	59	0.51
"ENSG00000254413"	"MSCLSK"	33	34	67	0.51
"ENSG00000170807"	"MSCLSK"	14	13	27	0.51
"ENSG00000175567"	"MSCLSK"	18	24	42	0.51
"ENSG00000123643"	"MSCLSK"	13	5	18	0.51
"ENSG00000140598"	"MSCLSK"	49	34	83	0.51
"ENSG00000162408"	"MSCLSK"	4	4	8	0.51
"ENSG00000139428"	"MSCLSK"	16	24	40	0.51
"ENSG00000145348"	"MSCLSK"	43	31	74	0.51
"ENSG00000163931"	"MSCLSK"	6	5	11	0.51
"ENSG00000198752"	"MSCLSK"	7	10	17	0.51
"ENSG00000071242"	"MSCLSK"	29	27	56	0.51
"ENSG00000100968"	"MSCLSK"	25	19	44	0.51
"ENSG00000119760"	"MSCLSK"	9	7	16	0.51
"ENSG00000173638"	"MSCLSK"	55	70	125	0.51
"ENSG00000136868"	"MSCLSK"	519	356	875	0.51
"ENSG00000112941"	"MSCLSK"	87	88	175	0.51
"ENSG00000101346"	"MSCLSK"	9	7	16	0.51
"ENSG00000075336"	"MSCLSK"	146	147	293	0.51
"ENSG00000132313"	"MSCLSK"	16	14	30	0.51
"ENSG00000168397"	"MSCLSK"	4	6	10	0.51
"ENSG00000184470"	"MSCLSK"	63	55	118	0.51
"ENSG00000142961"	"MSCLSK"	11	15	26	0.51
"ENSG00000163510"	"MSCLSK"	362	369	731	0.51
"ENSG00000205476"	"MSCLSK"	1	7	8	0.51
"ENSG00000158467"	"MSCLSK"	28	49	77	0.51
"ENSG00000105792"	"MSCLSK"	6	5	11	0.51
"ENSG00000146021"	"MSCLSK"	17	19	36	0.51
"ENSG00000270316"	"MSCLSK"	1157	1187	2344	0.51
"ENSG00000146007"	"MSCLSK"	14	22	36	0.51
"ENSG00000145794"	"MSCLSK"	12	34	46	0.51
"ENSG00000139168"	"MSCLSK"	154	172	326	0.51
"ENSG00000133063"	"MSCLSK"	7	5	12	0.51
"ENSG00000132522"	"MSCLSK"	32	45	77	0.51
"ENSG00000138755"	"MSCLSK"	22	24	46	0.51
"ENSG00000251369"	"MSCLSK"	14	19	33	0.51
"ENSG00000112851"	"MSCLSK"	10	18	28	0.51
"ENSG00000149658"	"MSCLSK"	56	56	112	0.51
"ENSG00000163918"	"MSCLSK"	5	4	9	0.51
"ENSG00000162086"	"MSCLSK"	8	1	9	0.51
"ENSG00000116922"	"MSCLSK"	25	26	51	0.51
"ENSG00000129315"	"MSCLSK"	44	36	80	0.51
"ENSG00000156050"	"MSCLSK"	9	0	9	0.51
"ENSG00000164713"	"MSCLSK"	15	11	26	0.51
"ENSG00000108219"	"MSCLSK"	13	11	24	0.51
"ENSG00000104980"	"MSCLSK"	12	22	34	0.51
"ENSG00000080189"	"MSCLSK"	14	11	25	0.51
"ENSG00000215067"	"MSCLSK"	27	20	47	0.51
"ENSG00000084636"	"MSCLSK"	4	7	11	0.51
"ENSG00000135801"	"MSCLSK"	15	7	22	0.51
"ENSG00000102710"	"MSCLSK"	18	37	55	0.51
"ENSG00000164983"	"MSCLSK"	9	12	21	0.51
"ENSG00000104518"	"MSCLSK"	16	12	28	0.51
"ENSG00000066629"	"MSCLSK"	32	28	60	0.51
"ENSG00000188811"	"MSCLSK"	24	20	44	0.51
"ENSG00000087365"	"MSCLSK"	5	6	11	0.51
"ENSG00000143801"	"MSCLSK"	6	12	18	0.51
"ENSG00000176248"	"MSCLSK"	73	91	164	0.51
"ENSG00000141646"	"MSCLSK"	82	98	180	0.51
"ENSG00000184381"	"MSCLSK"	9	13	22	0.51
"ENSG00000138758"	"MSCLSK"	14	6	20	0.51
"ENSG00000100865"	"MSCLSK"	3	6	9	0.51
"ENSG00000095321"	"MSCLSK"	9	1	10	0.51
"ENSG00000160678"	"MSCLSK"	48	37	85	0.51
"ENSG00000037474"	"MSCLSK"	26	29	55	0.51
"ENSG00000185760"	"MSCLSK"	33	49	82	0.51
"ENSG00000213341"	"MSCLSK"	47	69	116	0.51
"ENSG00000167380"	"MSCLSK"	10	7	17	0.51
"ENSG00000175893"	"MSCLSK"	2	7	9	0.51
"ENSG00000009830"	"MSCLSK"	28	28	56	0.51
"ENSG00000100483"	"MSCLSK"	121	101	222	0.51
"ENSG00000173960"	"MSCLSK"	11	12	23	0.51
"ENSG00000164904"	"MSCLSK"	33	37	70	0.51
"ENSG00000091542"	"MSCLSK"	4	8	12	0.51
"ENSG00000125534"	"MSCLSK"	10	4	14	0.51
"ENSG00000083814"	"MSCLSK"	55	56	111	0.51
"ENSG00000136436"	"MSCLSK"	4	4	8	0.51
"ENSG00000182253"	"MSCLSK"	6	6	12	0.51
"ENSG00000064102"	"MSCLSK"	75	77	152	0.51
"ENSG00000264235"	"MSCLSK"	88	95	183	0.51
"ENSG00000002834"	"MSCLSK"	107	79	186	0.51
"ENSG00000156515"	"MSCLSK"	44	83	127	0.51
"ENSG00000135912"	"MSCLSK"	360	464	824	0.51
"ENSG00000108469"	"MSCLSK"	550	505	1055	0.51
"ENSG00000166411"	"MSCLSK"	25	17	42	0.51
"ENSG00000105053"	"MSCLSK"	6	5	11	0.51
"ENSG00000162390"	"MSCLSK"	18	16	34	0.51
"ENSG00000072756"	"MSCLSK"	17	17	34	0.51
"ENSG00000070882"	"MSCLSK"	2	11	13	0.51
"ENSG00000038532"	"MSCLSK"	11	11	22	0.51
"ENSG00000198105"	"MSCLSK"	9	7	16	0.51
"ENSG00000205250"	"MSCLSK"	15	9	24	0.51
"ENSG00000151623"	"MSCLSK"	102	94	196	0.51
"ENSG00000141219"	"MSCLSK"	32	27	59	0.51
"ENSG00000119318"	"MSCLSK"	35	34	69	0.51
"ENSG00000205726"	"MSCLSK"	18	25	43	0.51
"ENSG00000176396"	"MSCLSK"	7	3	10	0.51
"ENSG00000164535"	"MSCLSK"	47	64	111	0.51
"ENSG00000067057"	"MSCLSK"	6	6	12	0.51
"ENSG00000175920"	"MSCLSK"	2	6	8	0.51
"ENSG00000120549"	"MSCLSK"	10	13	23	0.51
"ENSG00000139990"	"MSCLSK"	7	2	9	0.51
"ENSG00000189241"	"MSCLSK"	56	70	126	0.51
"ENSG00000102763"	"MSCLSK"	18	21	39	0.51
"ENSG00000114978"	"MSCLSK"	79	78	157	0.51
"ENSG00000105701"	"MSCLSK"	3	10	13	0.51
"ENSG00000198792"	"MSCLSK"	7	1	8	0.51
"ENSG00000135636"	"MSCLSK"	7	1	8	0.51
"ENSG00000138286"	"MSCLSK"	12	17	29	0.51
"ENSG00000161547"	"MSCLSK"	336	375	711	0.51
"ENSG00000164543"	"MSCLSK"	18	10	28	0.51
"ENSG00000134107"	"MSCLSK"	14	20	34	0.51
"ENSG00000177479"	"MSCLSK"	5	10	15	0.51
"ENSG00000006715"	"MSCLSK"	9	15	24	0.51
"ENSG00000030419"	"MSCLSK"	79	83	162	0.51
"ENSG00000162600"	"MSCLSK"	0	15	15	0.51
"ENSG00000100299"	"MSCLSK"	4	11	15	0.51
"ENSG00000103126"	"MSCLSK"	7	6	13	0.51
"ENSG00000182568"	"MSCLSK"	4	11	15	0.51
"ENSG00000170540"	"MSCLSK"	6	3	9	0.51
"ENSG00000149115"	"MSCLSK"	8	8	16	0.51
"ENSG00000148154"	"MSCLSK"	1397	1366	2763	0.51
"ENSG00000152284"	"MSCLSK"	28	28	56	0.51
"ENSG00000065308"	"MSCLSK"	66	47	113	0.51
"ENSG00000118503"	"MSCLSK"	62	56	118	0.51
"ENSG00000067365"	"MSCLSK"	34	31	65	0.51
"ENSG00000272047"	"MSCLSK"	75	69	144	0.51
"ENSG00000203965"	"MSCLSK"	79	55	134	0.51
"ENSG00000107537"	"MSCLSK"	6	3	9	0.51
"ENSG00000161638"	"MSCLSK"	16	13	29	0.51
"ENSG00000130340"	"MSCLSK"	13	9	22	0.51
"ENSG00000135823"	"MSCLSK"	17	23	40	0.51
"ENSG00000083444"	"MSCLSK"	227	247	474	0.51
"ENSG00000186283"	"MSCLSK"	20	31	51	0.51
"ENSG00000162441"	"MSCLSK"	130	115	245	0.51
"ENSG00000196262"	"MSCLSK"	201	231	432	0.51
"ENSG00000135046"	"MSCLSK"	8	3	11	0.51
"ENSG00000228393"	"MSCLSK"	4	5	9	0.51
"ENSG00000157216"	"MSCLSK"	18	21	39	0.51
"ENSG00000103202"	"MSCLSK"	10	17	27	0.51
"ENSG00000089916"	"MSCLSK"	19	13	32	0.51
"ENSG00000160953"	"MSCLSK"	169	139	308	0.51
"ENSG00000108821"	"MSCLSK"	7	9	16	0.51
"ENSG00000109111"	"MSCLSK"	51	43	94	0.51
"ENSG00000124207"	"MSCLSK"	49	41	90	0.51
"ENSG00000143442"	"MSCLSK"	159	170	329	0.51
"ENSG00000062598"	"MSCLSK"	940	811	1751	0.51
"ENSG00000119711"	"MSCLSK"	15	32	47	0.51
"ENSG00000125485"	"MSCLSK"	34	27	61	0.51
"ENSG00000177105"	"MSCLSK"	10	14	24	0.51
"ENSG00000259065"	"MSCLSK"	73	64	137	0.51
"ENSG00000169031"	"MSCLSK"	16	5	21	0.51
"ENSG00000090539"	"MSCLSK"	18	9	27	0.51
"ENSG00000247828"	"MSCLSK"	32	32	64	0.51
"ENSG00000130649"	"MSCLSK"	7	8	15	0.51
"ENSG00000100075"	"MSCLSK"	11	9	20	0.51
"ENSG00000144559"	"MSCLSK"	13	12	25	0.51
"ENSG00000129566"	"MSCLSK"	6	3	9	0.51
"ENSG00000113369"	"MSCLSK"	9	5	14	0.51
"ENSG00000135372"	"MSCLSK"	51	42	93	0.51
"ENSG00000018510"	"MSCLSK"	2	9	11	0.51
"ENSG00000116688"	"MSCLSK"	16	16	32	0.51
"ENSG00000153922"	"MSCLSK"	4	11	15	0.51
"ENSG00000117691"	"MSCLSK"	10	9	19	0.51
"ENSG00000187630"	"MSCLSK"	61	20	81	0.51
"ENSG00000164975"	"MSCLSK"	19	11	30	0.51
"ENSG00000088205"	"MSCLSK"	19	21	40	0.51
"ENSG00000197381"	"MSCLSK"	108	89	197	0.51
"ENSG00000142227"	"MSCLSK"	9	8	17	0.51
"ENSG00000143553"	"MSCLSK"	62	60	122	0.51
"ENSG00000091879"	"MSCLSK"	64	35	99	0.51
"ENSG00000095139"	"MSCLSK"	13	13	26	0.51
"ENSG00000140332"	"MSCLSK"	42	34	76	0.51
"ENSG00000187098"	"MSCLSK"	4	7	11	0.51
"ENSG00000105289"	"MSCLSK"	4	18	22	0.51
"ENSG00000211456"	"MSCLSK"	129	127	256	0.51
"ENSG00000161671"	"MSCLSK"	17	24	41	0.51
"ENSG00000145623"	"MSCLSK"	6	5	11	0.51
"ENSG00000101150"	"MSCLSK"	5	8	13	0.51
"ENSG00000135900"	"MSCLSK"	19	21	40	0.51
"ENSG00000172890"	"MSCLSK"	16	10	26	0.51
"ENSG00000189184"	"MSCLSK"	16	16	32	0.51
"ENSG00000141527"	"MSCLSK"	63	51	114	0.51
"ENSG00000118705"	"MSCLSK"	29	29	58	0.51
"ENSG00000152556"	"MSCLSK"	2	6	8	0.51
"ENSG00000161011"	"MSCLSK"	32	29	61	0.51
"ENSG00000143183"	"MSCLSK"	72	82	154	0.51
"ENSG00000185019"	"MSCLSK"	145	112	257	0.51
"ENSG00000169813"	"MSCLSK"	12	8	20	0.51
"ENSG00000108774"	"MSCLSK"	63	47	110	0.51
"ENSG00000184967"	"MSCLSK"	103	90	193	0.51
"ENSG00000101413"	"MSCLSK"	21	26	47	0.51
"ENSG00000172493"	"MSCLSK"	6	7	13	0.51
"ENSG00000163798"	"MSCLSK"	64	61	125	0.51
"ENSG00000123143"	"MSCLSK"	54	52	106	0.51
"ENSG00000124535"	"MSCLSK"	31	25	56	0.51
"ENSG00000070614"	"MSCLSK"	16	8	24	0.51
"ENSG00000101160"	"MSCLSK"	12	3	15	0.51
"ENSG00000198176"	"MSCLSK"	27	19	46	0.51
"ENSG00000177225"	"MSCLSK"	24	19	43	0.51
"ENSG00000186073"	"MSCLSK"	88	71	159	0.51
"ENSG00000121858"	"MSCLSK"	5	5	10	0.51
"ENSG00000173171"	"MSCLSK"	132	123	255	0.51
"ENSG00000272333"	"MSCLSK"	6	9	15	0.51
"ENSG00000100814"	"MSCLSK"	26	67	93	0.51
"ENSG00000100412"	"MSCLSK"	11	16	27	0.51
"ENSG00000022976"	"MSCLSK"	19	12	31	0.51
"ENSG00000089063"	"MSCLSK"	250	223	473	0.51
"ENSG00000130779"	"MSCLSK"	20	14	34	0.51
"ENSG00000186567"	"MSCLSK"	26	28	54	0.51
"ENSG00000108932"	"MSCLSK"	7	11	18	0.51
"ENSG00000167110"	"MSCLSK"	7	9	16	0.51
"ENSG00000105669"	"MSCLSK"	11	7	18	0.51
"ENSG00000108599"	"MSCLSK"	21	37	58	0.51
"ENSG00000187608"	"MSCLSK"	3	6	9	0.51
"ENSG00000058799"	"MSCLSK"	17	8	25	0.51
"ENSG00000129103"	"MSCLSK"	62	85	147	0.51
"ENSG00000153902"	"MSCLSK"	6	3	9	0.51
"ENSG00000023318"	"MSCLSK"	14	9	23	0.51
"ENSG00000197724"	"MSCLSK"	167	80	247	0.51
"ENSG00000128335"	"MSCLSK"	8	10	18	0.51
"ENSG00000186470"	"MSCLSK"	146	153	299	0.51
"ENSG00000249915"	"MSCLSK"	44	60	104	0.51
"ENSG00000172399"	"MSCLSK"	42	27	69	0.51
"ENSG00000104643"	"MSCLSK"	6	4	10	0.51
"ENSG00000167562"	"MSCLSK"	39	50	89	0.51
"ENSG00000103257"	"MSCLSK"	15	17	32	0.51
"ENSG00000225315"	"MSCLSK"	78	29	107	0.51
"ENSG00000066056"	"MSCLSK"	6	4	10	0.51
"ENSG00000173992"	"MSCLSK"	8	6	14	0.51
"ENSG00000205659"	"MSCLSK"	6	7	13	0.51
"ENSG00000072135"	"MSCLSK"	13	8	21	0.51
"ENSG00000173456"	"MSCLSK"	46	32	78	0.51
"ENSG00000169896"	"MSCLSK"	13	13	26	0.51
"ENSG00000153904"	"MSCLSK"	8	9	17	0.51
"ENSG00000196151"	"MSCLSK"	13	0	13	0.51
"ENSG00000147364"	"MSCLSK"	67	64	131	0.51
"ENSG00000213516"	"MSCLSK"	10	8	18	0.51
"ENSG00000163359"	"MSCLSK"	35	41	76	0.51
"ENSG00000144909"	"MSCLSK"	13	11	24	0.51
"ENSG00000131069"	"MSCLSK"	288	260	548	0.51
"ENSG00000134013"	"MSCLSK"	14	8	22	0.51
"ENSG00000152700"	"MSCLSK"	111	83	194	0.51
"ENSG00000153443"	"MSCLSK"	3	6	9	0.51
"ENSG00000118971"	"MSCLSK"	113	83	196	0.51
"ENSG00000068724"	"MSCLSK"	27	31	58	0.51
"ENSG00000133800"	"MSCLSK"	123	82	205	0.51
"ENSG00000130338"	"MSCLSK"	66	70	136	0.51
"ENSG00000154114"	"MSCLSK"	26	20	46	0.51
"ENSG00000178623"	"MSCLSK"	18	17	35	0.51
"ENSG00000180185"	"MSCLSK"	171	225	396	0.51
"ENSG00000163946"	"MSCLSK"	9	11	20	0.51
"ENSG00000184983"	"MSCLSK"	123	114	237	0.51
"ENSG00000133121"	"MSCLSK"	27	25	52	0.51
"ENSG00000185052"	"MSCLSK"	23	25	48	0.51
"ENSG00000175471"	"MSCLSK"	15	20	35	0.51
"ENSG00000196421"	"MSCLSK"	22	32	54	0.51
"ENSG00000189350"	"MSCLSK"	11	4	15	0.51
"ENSG00000160993"	"MSCLSK"	135	112	247	0.51
"ENSG00000182208"	"MSCLSK"	35	33	68	0.51
"ENSG00000133985"	"MSCLSK"	7	6	13	0.51
"ENSG00000104983"	"MSCLSK"	10	6	16	0.51
"ENSG00000177098"	"MSCLSK"	15	32	47	0.51
"ENSG00000100564"	"MSCLSK"	15	11	26	0.51
"ENSG00000149489"	"MSCLSK"	71	62	133	0.51
"ENSG00000197619"	"MSCLSK"	394	317	711	0.51
"ENSG00000111907"	"MSCLSK"	8	7	15	0.51
"ENSG00000140995"	"MSCLSK"	69	100	169	0.51
"ENSG00000011485"	"MSCLSK"	159	121	280	0.51
"ENSG00000119801"	"MSCLSK"	29	27	56	0.51
"ENSG00000112343"	"MSCLSK"	8	5	13	0.51
"ENSG00000185847"	"MSCLSK"	11	19	30	0.51
"ENSG00000132530"	"MSCLSK"	50	53	103	0.51
"ENSG00000064012"	"MSCLSK"	43	36	79	0.51
"ENSG00000148337"	"MSCLSK"	39	33	72	0.51
"ENSG00000167232"	"MSCLSK"	13	12	25	0.51
"ENSG00000125772"	"MSCLSK"	54	30	84	0.51
"ENSG00000170417"	"MSCLSK"	10	9	19	0.51
"ENSG00000144711"	"MSCLSK"	24	29	53	0.51
"ENSG00000026950"	"MSCLSK"	111	83	194	0.51
"ENSG00000113810"	"MSCLSK"	5	3	8	0.51
"ENSG00000131067"	"MSCLSK"	120	86	206	0.51
"ENSG00000106397"	"MSCLSK"	9	5	14	0.51
"ENSG00000133393"	"MSCLSK"	38	32	70	0.51
"ENSG00000135541"	"MSCLSK"	375	316	691	0.51
"ENSG00000102871"	"MSCLSK"	9	8	17	0.51
"ENSG00000114742"	"MSCLSK"	19	17	36	0.51
"ENSG00000196387"	"MSCLSK"	27	9	36	0.51
"ENSG00000148925"	"MSCLSK"	25	26	51	0.51
"ENSG00000247077"	"MSCLSK"	7	4	11	0.51
"ENSG00000086061"	"MSCLSK"	9	0	9	0.51
"ENSG00000002933"	"MSCLSK"	20	17	37	0.51
"ENSG00000165629"	"MSCLSK"	35	47	82	0.51
"ENSG00000231074"	"MSCLSK"	14	7	21	0.51
"ENSG00000168724"	"MSCLSK"	23	15	38	0.51
"ENSG00000172071"	"MSCLSK"	15	21	36	0.51
"ENSG00000155561"	"MSCLSK"	243	237	480	0.51
"ENSG00000074855"	"MSCLSK"	38	23	61	0.51
"ENSG00000181638"	"MSCLSK"	121	100	221	0.51
"ENSG00000159086"	"MSCLSK"	16	5	21	0.51
"ENSG00000116698"	"MSCLSK"	114	112	226	0.51
"ENSG00000197694"	"MSCLSK"	2	10	12	0.51
"ENSG00000117054"	"MSCLSK"	2	6	8	0.51
"ENSG00000137054"	"MSCLSK"	16	19	35	0.51
"ENSG00000106609"	"MSCLSK"	5	10	15	0.51
"ENSG00000120802"	"MSCLSK"	11	14	25	0.51
"ENSG00000104863"	"MSCLSK"	4	4	8	0.51
"ENSG00000243147"	"MSCLSK"	44	38	82	0.51
"ENSG00000010292"	"MSCLSK"	20	14	34	0.51
"ENSG00000135547"	"MSCLSK"	19	17	36	0.51
"ENSG00000183751"	"MSCLSK"	35	49	84	0.51
"ENSG00000117395"	"MSCLSK"	13	12	25	0.51
"ENSG00000109061"	"MSCLSK"	13	10	23	0.51
"ENSG00000172269"	"MSCLSK"	24	22	46	0.51
"ENSG00000185875"	"MSCLSK"	59	70	129	0.51
"ENSG00000161217"	"MSCLSK"	29	30	59	0.51
"ENSG00000057019"	"MSCLSK"	27	21	48	0.51
"ENSG00000166340"	"MSCLSK"	511	392	903	0.51
"ENSG00000101384"	"MSCLSK"	6	3	9	0.51
"ENSG00000163743"	"MSCLSK"	187	255	442	0.51
"ENSG00000121897"	"MSCLSK"	55	30	85	0.51
"ENSG00000013306"	"MSCLSK"	9	21	30	0.51
"ENSG00000198860"	"MSCLSK"	18	18	36	0.51
"ENSG00000101019"	"MSCLSK"	50	41	91	0.51
"ENSG00000169682"	"MSCLSK"	91	117	208	0.51
"ENSG00000174032"	"MSCLSK"	31	36	67	0.51
