"eh1" "eh2" "p.val" "adj.pval"
734 518 0.000130882835664736 0.00523531342658944
578 604 0.911904423132863 1
350 332 0.850668609455287 1
195 142 0.508513002597531 1
717 852 0.657446376481851 1
473 268 0.213847487797572 1
399 347 0.770639408236123 1
428 1410 3.77631849036035e-05 0.00171650840470925
309 295 0.896124231703899 1
726 715 0.971799226462219 1
704 647 0.169539723959583 1
850 891 0.608796069110604 1
383 414 0.867085079446907 1
239 259 0.791901450544231 1
1044 905 0.691514566846963 1
757 782 0.854634532221582 1
314 430 0.085703179462357 0.77210071587709
331 254 0.547157473809881 1
219 253 0.317911332903228 1
592 732 0.0658970528687546 0.679351060502625
629 755 0.338416085591535 1
142 133 0.881416457338944 1
653 789 0.357946186422233 1
724 742 0.905585316417658 1
298 298 1 1
173 241 0.122687170857061 0.922100946973743
305 402 0.56768618907732 1
263 239 0.584723463345375 1
337 267 0.597804062129518 1
655 561 0.648494982785069 1
828 696 0.00124802832769838 0.0297149601832948
829 839 0.973781349667366 1
702 872 0.439380731446228 1
890 975 0.64823521396525 1
464 449 0.726933351953102 1
430 492 0.408189567935183 1
1369 1372 0.991243571633739 1
850 772 0.78041535895158 1
372 446 0.45142276065854 1
1025 1046 0.920791315912247 1
394 493 0.310247757138975 1
449 571 0.0943747567634295 0.806621852678885
229 166 0.501276668103407 1
544 683 0.643897727371081 1
831 776 0.237762002351755 1
324 291 0.544066403463349 1
207 258 0.615980809881283 1
222 270 0.0692034569777409 0.69367825798933
500 483 0.847462599261064 1
606 442 0.456920962944941 1
1094 1127 0.952662354050344 1
525 524 0.996184246069035 1
315 389 0.0116442348103173 0.194070580171955
800 737 0.791846788376096 1
188 262 0.175336309091575 1
1025 1279 0.00299442827693122 0.0587142799398279
766 812 0.851276695882082 1
452 430 0.476896664239331 1
743 735 0.968768243223968 1
400 421 0.878205837101837 1
1289 1149 0.453316771232237 1
656 553 0.677749287993248 1
938 826 0.67875824875787 1
820 1031 0.00090950367014687 0.0239343071091281
233 163 0.36064348126936 1
951 759 0.625593251831884 1
1166 869 0.00728989442432288 0.134998044894868
840 1034 0.201219962696363 1
300 303 0.973246907904925 1
748 753 0.970607040038912 1
423 1032 8.24263319449363e-11 1.0303291493117e-08
664 575 0.724925575132159 1
400 419 0.925118343993051 1
963 1274 0.0905686257795531 0.801492263535868
526 591 0.348943415709004 1
197 217 0.813673774012715 1
770 616 0.614226587504173 1
573 421 0.116057037782461 0.898513351460185
508 499 0.781482958913243 1
334 247 0.0241664018483136 0.335644470115466
691 609 0.288452814004986 1
738 799 0.87120626690745 1
178 291 2.04559744716131e-07 1.85963404287392e-05
582 451 0.000123676458242116 0.00515318576008818
606 519 0.376450302379315 1
1547 1539 0.969584579166818 1
744 904 0.554798888739821 1
2090 2059 0.827170235427085 1
252 245 0.931825803458528 1
145 99 0.127339131853115 0.933362915183883
1444 1391 0.404155769359798 1
123 128 0.898548040747696 1
1297 875 7.29968982955219e-06 0.00040553832386401
271 381 0.0206932321191247 0.313533819986737
1013 632 0.174627719663651 1
440 443 0.961562557998803 1
993 701 0.208022864946749 1
819 830 0.97132819097049 1
971 990 0.668704257708411 1
374 279 0.37849565809192 1
1468 1561 0.626442886679329 1
281 247 0.648626953863357 1
454 491 0.841854747874151 1
809 722 0.117705249041284 0.898513351460185
786 727 0.139018510556308 0.956734198526683
629 711 0.569977248132835 1
483 357 0.156365151711437 1
841 946 0.78050001777742 1
133 131 0.963101864483971 1
570 497 0.473886702050274 1
466 492 0.863271893197426 1
