"eh1"	"eh2"
1175	1341
389	413
549	397
796	846
512	544
418	394
279	249
686	654
907	1044
735	672
255	305
871	724
338	248
329	427
416	362
880	882
262	246
531	496
248	280
712	868
4515	4240
1561	1297
367	391
181	270
1448	1580
175	194
311	491
1075	1363
629	1126
886	1055
385	481
1022	1130
264	196
793	715
576	431
654	563
398	287
2408	2098
1193	1196
402	375
708	599
724	776
299	355
164	186
345	382
625	526
251	208
508	462
847	731
172	203
182	228
231	267
674	484
694	631
676	820
312	299
879	871
722	751
619	680
394	458
362	538
1292	2185
674	698
480	420
899	425
737	652
1320	1534
252	219
1110	1335
209	265
535	373
666	647
403	322
246	270
134	122
451	402
737	689
1026	971
512	661
273	265
987	859
334	396
349	345
965	598
536	417
808	722
839	696
508	481
485	558
238	213
485	567
202	204
1454	1481
1028	1433
149	144
929	906
1065	1242
331	293
413	454
308	290
622	754
614	724
2281	2320
177	822
305	213
360	306
168	228
385	350
453	498
396	361
306	322
998	882
462	493
345	344
984	1077
306	375
291	237
417	358
378	345
377	493
704	527
896	898
721	761
1123	1246
982	894
753	636
329	311
442	509
984	1330
577	636
453	439
652	617
232	343
578	434
663	631
481	498
418	391
512	990
1023	831
1490	1322
903	755
187	147
884	1100
492	487
310	337
460	426
565	1326
210	216
393	612
179	181
529	423
487	515
932	933
279	311
312	407
600	431
781	662
811	847
269	308
988	939
663	796
560	535
278	242
277	338
444	453
189	177
236	154
443	431
406	374
2094	2043
715	917
147	153
967	782
426	411
1226	1223
498	538
369	325
524	687
810	672
348	356
468	442
616	835
864	752
529	549
1193	1190
201	216
380	434
342	476
418	391
171	174
777	841
264	236
307	250
1343	1296
556	525
347	301
653	509
408	290
488	380
326	289
217	190
917	618
260	259
211	214
1101	1194
834	460
737	693
1041	863
919	881
229	184
194	239
1676	1258
285	268
154	131
306	323
203	138
317	344
898	1034
278	337
477	428
463	545
141	153
1211	869
1217	1242
487	427
373	303
284	251
417	428
424	581
367	313
389	383
425	431
192	189
415	364
312	265
319	485
789	780
300	403
2006	1968
430	513
724	565
985	747
1117	1083
1011	750
364	379
340	350
348	354
