"","eh1","eh2","p.val","adj.pval"
"51",560,522,0.747945684019688,1
"52",117,95,0.287617704866519,0.99590037707584
"53",294,291,0.943538082485232,1
"54",420,412,0.890161207534853,1
"55",219,207,0.692756931037478,1
"56",613,519,0.350746733991288,0.99590037707584
"57",355,337,0.541138833523556,0.99590037707584
"58",696,413,0.0456469806233973,0.99590037707584
"59",792,569,0.226842776251556,0.99590037707584
"60",169,170,0.999936657516334,1
"61",258,260,0.979216994129129,1
"62",734,768,0.395032188194682,0.99590037707584
"63",445,735,0.0620708935093545,0.99590037707584
"64",864,780,0.764826138830447,1
"65",942,920,0.86947921783671,1
"66",438,438,1,1
"67",338,508,0.22307639436837,0.99590037707584
"68",546,481,0.704784565160747,1
"69",559,515,0.457448083722015,0.99590037707584
"70",515,608,0.563775321617059,0.99590037707584
"71",870,701,0.528786649690001,0.99590037707584
"72",257,356,0.0070303141129607,0.70303141129607
"73",241,281,0.559679123544829,0.99590037707584
"74",1220,1219,0.999936657516334,1
"75",510,496,0.886402636938544,1
"76",246,288,0.384652356688323,0.99590037707584
"77",314,319,0.906822148847716,1
"78",1079,830,0.452502899776245,0.99590037707584
"79",398,438,0.333788242893613,0.99590037707584
"80",484,566,0.614000153172308,0.99590037707584
"81",329,717,0.0110498622795592,0.736657485303947
"82",513,734,0.156102372846059,0.99590037707584
"83",658,558,0.129785045992275,0.99590037707584
"84",120,151,0.287448816163536,0.99590037707584
"85",1100,1107,0.963625471555673,1
"86",307,327,0.465797182403182,0.99590037707584
"87",619,584,0.830442767542402,1
"88",563,693,0.431479859344512,0.99590037707584
"89",1138,781,0.0244778480418442,0.941455693917085
"90",190,178,0.614533305422849,0.99590037707584
"91",819,634,0.136679796941366,0.99590037707584
"92",407,406,0.999936657516334,1
"93",753,705,0.569896824504544,0.99590037707584
"94",1089,1163,0.248107326955053,0.99590037707584
"95",894,906,0.969892122498516,1
"96",316,345,0.407952237560819,0.99590037707584
"97",453,399,0.438139665128682,0.99590037707584
"98",127,184,0.00871734089935978,0.736657485303947
"99",386,356,0.780757409064085,1
"100",395,340,0.17739372403282,0.99590037707584
"101",552,586,0.365956905450941,0.99590037707584
"102",511,478,0.310925115005577,0.99590037707584
"103",629,971,0.0823471110011282,0.99590037707584
"104",1439,1256,0.590512077414999,0.99590037707584
"105",802,948,0.522374681579215,0.99590037707584
"106",696,1195,0.092227647067559,0.99590037707584
"107",1098,1057,0.574282674330046,0.99590037707584
"108",571,625,0.544560792828919,0.99590037707584
"109",310,292,0.624730865813507,1
